"Time","CH1","CH2"
-0.00025,0.8000000119,5
-0.0002498,0.6000000238,5
-0.0002496,0.400000006,4.80000019
-0.0002494,0.400000006,5
-0.0002492,0.400000006,4.5999999
-0.000249,0.200000003,4.80000019
-0.0002488,0.200000003,4.5999999
-0.0002486,0,4.5999999
-0.0002484,0.400000006,4.5999999
-0.0002482,0,4.4000001
-0.000248,0.400000006,4.5999999
-0.0002478,0,4.4000001
-0.0002476,0.400000006,4.4000001
-0.0002474,0.200000003,4.4000001
-0.0002472,-0.200000003,4.20000029
-0.000247,0,4.4000001
-0.0002468,-0.200000003,4
-0.0002466,0,4
-0.0002464,-0.200000003,4
-0.0002462,-0.400000006,4.20000029
-0.000246,-0.400000006,4
-0.0002458,-0.400000006,4
-0.0002456,-0.6000000238,3.79999995
-0.0002454,-0.8000000119,3.60000014
-0.0002452,-0.6000000238,4
-0.000245,-0.8000000119,3.60000014
-0.0002448,-0.8000000119,3.79999995
-0.0002446,-1,3.60000014
-0.0002444,-1,3.4000001
-0.0002442,-1,3.4000001
-0.000244,-0.8000000119,3.4000001
-0.0002438,-1,3.20000005
-0.0002436,-1.2,3.4000001
-0.0002434,-1.2,3.20000005
-0.0002432,-1,3.20000005
-0.000243,-1.2,3
-0.0002428,-1.2,3.20000005
-0.0002426,-1.2,3
-0.0002424,-1.6,3
-0.0002422,-1.4,3
-0.000242,-1.6,3.20000005
-0.0002418,-1.4,2.79999995
-0.0002416,-1.8000001,2.79999995
-0.0002414,-1.4,2.79999995
-0.0002412,-1.6,2.6000001
-0.000241,-1.4,2.6000001
-0.0002408,-1.8000001,2.6000001
-0.0002406,-1.8000001,2.6000001
-0.0002404,-1.8000001,2.6000001
-0.0002402,-1.8000001,2.79999995
-0.00024,-1.8000001,2.6000001
-0.0002398,-2,2.6000001
-0.0002396,-2,2.4000001
-0.0002394,-2,2.2
-0.0002392,-2,2.4000001
-0.000239,-2.4000001,2.4000001
-0.0002388,-2.2,2.2
-0.0002386,-2.2,2
-0.0002384,-2.2,2.2
-0.0002382,-2.6000001,2.2
-0.000238,-2.4000001,2
-0.0002378,-2.2,2
-0.0002376,-2.4000001,2
-0.0002374,-2.4000001,1.8000001
-0.0002372,-2.4000001,1.8000001
-0.000237,-2.6000001,1.8000001
-0.0002368,-2.4000001,1.8000001
-0.0002366,-2.6000001,1.8000001
-0.0002364,-2.79999995,1.8000001
-0.0002362,-2.6000001,1.8000001
-0.000236,-2.6000001,1.6
-0.0002358,-2.6000001,1.6
-0.0002356,-2.6000001,1.6
-0.0002354,-2.79999995,1.4
-0.0002352,-2.6000001,1.6
-0.000235,-3,1.4
-0.0002348,-3.20000005,1.4
-0.0002346,-3.20000005,1.4
-0.0002344,-2.79999995,1.4
-0.0002342,-3,1.4
-0.000234,-3,1.4
-0.0002338,-3,1.2
-0.0002336,-3.20000005,1.2
-0.0002334,-3,1.2
-0.0002332,-3,1.4
-0.000233,-3.20000005,1.2
-0.0002328,-3,1
-0.0002326,-3.20000005,1
-0.0002324,-3.60000014,1.2
-0.0002322,-3.20000005,1
-0.000232,-3.4000001,1
-0.0002318,-3.4000001,1
-0.0002316,-3.20000005,1
-0.0002314,-3.4000001,0.8000000119
-0.0002312,-3.20000005,1
-0.000231,-3.4000001,1
-0.0002308,-3.4000001,1
-0.0002306,-3.4000001,0.8000000119
-0.0002304,-3.4000001,0.8000000119
-0.0002302,-3.60000014,0.8000000119
-0.00023,-3.79999995,0.6000000238
-0.0002298,-3.60000014,0.8000000119
-0.0002296,-3.60000014,0.6000000238
-0.0002294,-3.60000014,0.6000000238
-0.0002292,-4,0.8000000119
-0.000229,-3.60000014,0.8000000119
-0.0002288,-3.60000014,0.400000006
-0.0002286,-3.4000001,0.6000000238
-0.0002284,-3.79999995,0.6000000238
-0.0002282,-3.79999995,0.8000000119
-0.000228,-3.79999995,0.6000000238
-0.0002278,-3.79999995,0.6000000238
-0.0002276,-3.60000014,0.400000006
-0.0002274,-4,0.400000006
-0.0002272,-3.79999995,0.6000000238
-0.000227,-3.79999995,0.6000000238
-0.0002268,-3.79999995,0.400000006
-0.0002266,-3.79999995,0.400000006
-0.0002264,-4,0.8000000119
-0.0002262,-3.60000014,0.6000000238
-0.000226,-4,0.6000000238
-0.0002258,-4,0.6000000238
-0.0002256,-3.79999995,0.400000006
-0.0002254,-3.79999995,0.400000006
-0.0002252,-4,0.400000006
-0.000225,-4,0.6000000238
-0.0002248,-4,0.6000000238
-0.0002246,-4,0.200000003
-0.0002244,-4,0.6000000238
-0.0002242,-4,0.400000006
-0.000224,-3.79999995,0.400000006
-0.0002238,-4,0.400000006
-0.0002236,-3.79999995,0.400000006
-0.0002234,-3.79999995,0.6000000238
-0.0002232,-3.79999995,0.6000000238
-0.000223,-3.79999995,0.6000000238
-0.0002228,-3.60000014,0.400000006
-0.0002226,-3.79999995,0.400000006
-0.0002224,-4,0.400000006
-0.0002222,-4,0.200000003
-0.000222,-3.79999995,0.6000000238
-0.0002218,-4,0.400000006
-0.0002216,-4.20000029,0.400000006
-0.0002214,-4,0.400000006
-0.0002212,-3.79999995,0.6000000238
-0.000221,-4,0.200000003
-0.0002208,-4,0.400000006
-0.0002206,-3.79999995,0.400000006
-0.0002204,-3.79999995,0.6000000238
-0.0002202,-3.79999995,0.400000006
-0.00022,-3.79999995,0.6000000238
-0.0002198,-3.79999995,0.6000000238
-0.0002196,-3.79999995,0.400000006
-0.0002194,-4,0.400000006
-0.0002192,-4.20000029,0.400000006
-0.000219,-3.79999995,0.400000006
-0.0002188,-3.79999995,0.6000000238
-0.0002186,-3.79999995,0.400000006
-0.0002184,-4,0.400000006
-0.0002182,-3.79999995,0.6000000238
-0.000218,-3.79999995,0.6000000238
-0.0002178,-3.60000014,0.400000006
-0.0002176,-3.60000014,0.6000000238
-0.0002174,-3.60000014,0.6000000238
-0.0002172,-3.60000014,0.8000000119
-0.000217,-3.60000014,0.6000000238
-0.0002168,-3.79999995,0.6000000238
-0.0002166,-3.60000014,0.6000000238
-0.0002164,-3.4000001,0.6000000238
-0.0002162,-3.60000014,0.6000000238
-0.000216,-3.60000014,0.8000000119
-0.0002158,-3.4000001,0.8000000119
-0.0002156,-3.4000001,0.8000000119
-0.0002154,-3.4000001,0.8000000119
-0.0002152,-3.79999995,0.8000000119
-0.000215,-3.79999995,0.8000000119
-0.0002148,-3.60000014,0.8000000119
-0.0002146,-3.4000001,1
-0.0002144,-3.4000001,1
-0.0002142,-3.4000001,1.2
-0.000214,-3.4000001,0.8000000119
-0.0002138,-3.4000001,1
-0.0002136,-3,1.2
-0.0002134,-3.20000005,1
-0.0002132,-3.20000005,1.4
-0.000213,-3.20000005,1.2
-0.0002128,-3.20000005,1
-0.0002126,-3.20000005,1.2
-0.0002124,-3,1
-0.0002122,-3,1
-0.000212,-2.79999995,1.4
-0.0002118,-3,1.2
-0.0002116,-2.79999995,1.6
-0.0002114,-3,1.4
-0.0002112,-3,1.4
-0.000211,-2.79999995,1.6
-0.0002108,-2.79999995,1.2
-0.0002106,-2.79999995,1.4
-0.0002104,-2.6000001,1.6
-0.0002102,-3,1.6
-0.00021,-2.79999995,1.4
-0.0002098,-2.6000001,1.6
-0.0002096,-2.6000001,1.6
-0.0002094,-2.4000001,1.8000001
-0.0002092,-2.6000001,1.8000001
-0.000209,-2.4000001,1.8000001
-0.0002088,-2.4000001,1.8000001
-0.0002086,-2.4000001,1.8000001
-0.0002084,-2.4000001,2.2
-0.0002082,-2.2,2
-0.000208,-2.2,2
-0.0002078,-2,2
-0.0002076,-2.4000001,1.8000001
-0.0002074,-2.2,2
-0.0002072,-2,2.2
-0.000207,-2,2.2
-0.0002068,-2,2.2
-0.0002066,-2,2.4000001
-0.0002064,-2,2.4000001
-0.0002062,-2,2.6000001
-0.000206,-1.8000001,2.6000001
-0.0002058,-1.8000001,2.4000001
-0.0002056,-1.8000001,2.6000001
-0.0002054,-1.8000001,2.6000001
-0.0002052,-1.8000001,2.79999995
-0.000205,-1.8000001,2.79999995
-0.0002048,-1.6,2.6000001
-0.0002046,-1.6,2.79999995
-0.0002044,-1.6,2.79999995
-0.0002042,-1.4,3
-0.000204,-1.6,3
-0.0002038,-1.2,2.79999995
-0.0002036,-1,3
-0.0002034,-1.2,3
-0.0002032,-1.2,2.79999995
-0.000203,-1.2,3.20000005
-0.0002028,-1.4,3.20000005
-0.0002026,-1.2,3.20000005
-0.0002024,-1.2,3.20000005
-0.0002022,-1,3.4000001
-0.000202,-1,3.20000005
-0.0002018,-1,3.4000001
-0.0002016,-0.8000000119,3.4000001
-0.0002014,-0.8000000119,3.4000001
-0.0002012,-0.6000000238,3.60000014
-0.000201,-0.6000000238,3.60000014
-0.0002008,-0.8000000119,3.60000014
-0.0002006,-0.6000000238,3.79999995
-0.0002004,-0.6000000238,3.79999995
-0.0002002,-0.400000006,3.79999995
-0.0002,-0.400000006,4
-0.0001998,-0.6000000238,4
-0.0001996,-0.400000006,4
-0.0001994,-0.6000000238,4
-0.0001992,-0.200000003,4.20000029
-0.000199,-0.200000003,4
-0.0001988,0,4
-0.0001986,-0.200000003,4.20000029
-0.0001984,0.200000003,4.20000029
-0.0001982,0,4.4000001
-0.000198,0.200000003,4.20000029
-0.0001978,0.200000003,4.4000001
-0.0001976,0,4.4000001
-0.0001974,0.400000006,4.4000001
-0.0001972,0,4.4000001
-0.000197,0.400000006,4.5999999
-0.0001968,0.6000000238,4.80000019
-0.0001966,0.400000006,4.80000019
-0.0001964,0.6000000238,4.80000019
-0.0001962,0.6000000238,4.80000019
-0.000196,0.6000000238,4.5999999
-0.0001958,0.6000000238,5
-0.0001956,0.8000000119,5
-0.0001954,0.6000000238,5.20000029
-0.0001952,0.8000000119,5.20000029
-0.000195,0.8000000119,5
-0.0001948,0.8000000119,5
-0.0001946,0.8000000119,5.5999999
-0.0001944,1,5.4000001
-0.0001942,1.2,5.4000001
-0.000194,1,5.20000029
-0.0001938,1.2,5.4000001
-0.0001936,1.2,5.5999999
-0.0001934,1.2,5.80000019
-0.0001932,1.2,5.4000001
-0.000193,1.2,5.5999999
-0.0001928,1.4,5.80000019
-0.0001926,1.4,5.80000019
-0.0001924,1.4,5.80000019
-0.0001922,1.6,6.20000029
-0.000192,1.6,6
-0.0001918,1.8000001,5.80000019
-0.0001916,1.8000001,5.80000019
-0.0001914,1.6,6
-0.0001912,1.8000001,6
-0.000191,1.8000001,6
-0.0001908,2,6
-0.0001906,2.2,6.20000029
-0.0001904,1.8000001,6.20000029
-0.0001902,1.8000001,6.20000029
-0.00019,2,6.4000001
-0.0001898,2,6.4000001
-0.0001896,2,6.4000001
-0.0001894,2,6.5999999
-0.0001892,2.2,6.4000001
-0.000189,2.4000001,6.5999999
-0.0001888,2.4000001,6.5999999
-0.0001886,2.4000001,6.5999999
-0.0001884,2.4000001,7
-0.0001882,2.6000001,6.80000019
-0.000188,2.79999995,6.80000019
-0.0001878,2.4000001,6.5999999
-0.0001876,2.4000001,6.80000019
-0.0001874,2.4000001,6.80000019
-0.0001872,2.79999995,6.80000019
-0.000187,2.6000001,6.80000019
-0.0001868,2.6000001,7.20000029
-0.0001866,2.79999995,7.20000029
-0.0001864,2.79999995,7
-0.0001862,2.79999995,7.20000029
-0.000186,2.79999995,7.20000029
-0.0001858,2.79999995,7.20000029
-0.0001856,3,7.20000029
-0.0001854,3,7.400000095
-0.0001852,2.79999995,7.400000095
-0.000185,3.20000005,7.400000095
-0.0001848,3.20000005,7.400000095
-0.0001846,3.20000005,7.599999905
-0.0001844,3,7.400000095
-0.0001842,3,7.400000095
-0.000184,3.4000001,7.400000095
-0.0001838,3.4000001,7.599999905
-0.0001836,3.20000005,7.400000095
-0.0001834,3.4000001,7.599999905
-0.0001832,3.20000005,7.599999905
-0.000183,3.4000001,7.599999905
-0.0001828,3.20000005,7.800000191
-0.0001826,3.4000001,7.800000191
-0.0001824,3.4000001,7.800000191
-0.0001822,3.60000014,7.599999905
-0.000182,3.4000001,7.800000191
-0.0001818,3.4000001,7.800000191
-0.0001816,3.60000014,7.800000191
-0.0001814,3.60000014,7.800000191
-0.0001812,3.60000014,7.800000191
-0.000181,3.60000014,8
-0.0001808,3.60000014,8
-0.0001806,3.4000001,7.800000191
-0.0001804,3.79999995,8
-0.0001802,3.79999995,8.199999809
-0.00018,3.79999995,8
-0.0001798,3.4000001,8
-0.0001796,3.60000014,8
-0.0001794,3.60000014,8
-0.0001792,3.4000001,8
-0.000179,3.79999995,8.199999809
-0.0001788,3.60000014,8.199999809
-0.0001786,4,8
-0.0001784,3.79999995,8.199999809
-0.0001782,4,8.199999809
-0.000178,4,8
-0.0001778,3.79999995,8.199999809
-0.0001776,4,8.199999809
-0.0001774,4,8.199999809
-0.0001772,4,8
-0.000177,3.79999995,8.199999809
-0.0001768,4.20000029,8.400000572
-0.0001766,3.79999995,8.199999809
-0.0001764,4,8.199999809
-0.0001762,4,8.400000572
-0.000176,4,8.600000381
-0.0001758,4,8.600000381
-0.0001756,4.20000029,8.600000381
-0.0001754,4,8.199999809
-0.0001752,3.79999995,8.199999809
-0.000175,4,8.400000572
-0.0001748,4,8.800000191
-0.0001746,4,8.600000381
-0.0001744,4.20000029,8.199999809
-0.0001742,4,8.400000572
-0.000174,4.4000001,8.400000572
-0.0001738,4.20000029,8.600000381
-0.0001736,4.20000029,8.600000381
-0.0001734,4.4000001,8.199999809
-0.0001732,4,8.400000572
-0.000173,4,8.400000572
-0.0001728,4.20000029,8.600000381
-0.0001726,4.20000029,8.600000381
-0.0001724,4.4000001,8.600000381
-0.0001722,4.4000001,8.400000572
-0.000172,4.20000029,8.400000572
-0.0001718,4.4000001,8.400000572
-0.0001716,4,8.400000572
-0.0001714,4,8.400000572
-0.0001712,4.20000029,8.400000572
-0.000171,4.4000001,8.600000381
-0.0001708,4.20000029,8.400000572
-0.0001706,4,8.199999809
-0.0001704,4,8.199999809
-0.0001702,4,8.400000572
-0.00017,4,8.400000572
-0.0001698,4,8.600000381
-0.0001696,3.79999995,8.199999809
-0.0001694,4,8.600000381
-0.0001692,4,8.400000572
-0.000169,4,8.199999809
-0.0001688,4.20000029,8.199999809
-0.0001686,3.79999995,8.400000572
-0.0001684,4.20000029,8.400000572
-0.0001682,3.79999995,8.400000572
-0.000168,3.79999995,8
-0.0001678,3.79999995,8.400000572
-0.0001676,3.79999995,8.400000572
-0.0001674,4,8
-0.0001672,4,8
-0.000167,3.79999995,8.400000572
-0.0001668,3.79999995,8.199999809
-0.0001666,3.60000014,8
-0.0001664,3.60000014,8.199999809
-0.0001662,3.60000014,8.400000572
-0.000166,3.4000001,8.199999809
-0.0001658,3.60000014,8
-0.0001656,3.60000014,8.400000572
-0.0001654,3.4000001,8
-0.0001652,3.60000014,7.800000191
-0.000165,3.60000014,8
-0.0001648,3.60000014,7.800000191
-0.0001646,3.4000001,8
-0.0001644,3.79999995,8
-0.0001642,3.60000014,7.599999905
-0.000164,3.60000014,8
-0.0001638,3.60000014,7.599999905
-0.0001636,3.60000014,7.800000191
-0.0001634,3.60000014,7.599999905
-0.0001632,3.4000001,7.800000191
-0.000163,3.4000001,7.599999905
-0.0001628,3.20000005,7.800000191
-0.0001626,3.4000001,7.599999905
-0.0001624,3.20000005,7.599999905
-0.0001622,3.20000005,7.599999905
-0.000162,3.20000005,7.20000029
-0.0001618,3.20000005,7.599999905
-0.0001616,3.20000005,7.20000029
-0.0001614,3.20000005,7.400000095
-0.0001612,3,7.20000029
-0.000161,3.20000005,7.599999905
-0.0001608,3,7.20000029
-0.0001606,2.79999995,7.20000029
-0.0001604,3,7.400000095
-0.0001602,2.79999995,7.20000029
-0.00016,2.79999995,7.20000029
-0.0001598,2.6000001,7.400000095
-0.0001596,2.6000001,7
-0.0001594,2.79999995,7
-0.0001592,2.4000001,6.80000019
-0.000159,2.6000001,7
-0.0001588,2.6000001,7
-0.0001586,2.6000001,7.20000029
-0.0001584,2.6000001,6.80000019
-0.0001582,2.6000001,6.80000019
-0.000158,2.6000001,6.80000019
-0.0001578,2.4000001,6.80000019
-0.0001576,2.4000001,6.5999999
-0.0001574,2.4000001,6.5999999
-0.0001572,2.2,6.5999999
-0.000157,2.2,6.80000019
-0.0001568,2,6.5999999
-0.0001566,2,6.5999999
-0.0001564,2,6.5999999
-0.0001562,2.2,6.4000001
-0.000156,2.2,6.4000001
-0.0001558,1.8000001,6.20000029
-0.0001556,1.8000001,6
-0.0001554,1.6,6.20000029
-0.0001552,2,6.20000029
-0.000155,1.6,6.4000001
-0.0001548,1.6,6.20000029
-0.0001546,1.6,5.80000019
-0.0001544,1.6,6
-0.0001542,1.8000001,6
-0.000154,1.6,6
-0.0001538,1.6,6
-0.0001536,1.6,5.5999999
-0.0001534,1.2,5.80000019
-0.0001532,1.4,5.80000019
-0.000153,1.4,5.5999999
-0.0001528,1.2,5.5999999
-0.0001526,1.2,5.5999999
-0.0001524,1.4,5.5999999
-0.0001522,1.2,5.4000001
-0.000152,1.2,5.5999999
-0.0001518,1,5.4000001
-0.0001516,0.8000000119,5.4000001
-0.0001514,1,5.4000001
-0.0001512,1,5.4000001
-0.000151,1,5.20000029
-0.0001508,0.8000000119,5.20000029
-0.0001506,0.8000000119,5
-0.0001504,0.8000000119,5.20000029
-0.0001502,0.8000000119,5
-0.00015,0.400000006,5
-0.0001498,0.400000006,5.20000029
-0.0001496,0.6000000238,4.80000019
-0.0001494,0.6000000238,4.80000019
-0.0001492,0.6000000238,4.5999999
-0.000149,0.400000006,4.80000019
-0.0001488,0.400000006,4.5999999
-0.0001486,0.400000006,4.5999999
-0.0001484,0.400000006,4.4000001
-0.0001482,0.200000003,4.4000001
-0.000148,0.200000003,4.4000001
-0.0001478,-0.200000003,4.4000001
-0.0001476,0,4.20000029
-0.0001474,0,4
-0.0001472,0,4.4000001
-0.000147,-0.200000003,4.20000029
-0.0001468,-0.200000003,4
-0.0001466,-0.200000003,4.20000029
-0.0001464,-0.400000006,3.79999995
-0.0001462,-0.400000006,4
-0.000146,-0.400000006,3.79999995
-0.0001458,-0.400000006,4.20000029
-0.0001456,-0.400000006,3.79999995
-0.0001454,-0.6000000238,3.79999995
-0.0001452,-0.6000000238,3.60000014
-0.000145,-0.8000000119,3.60000014
-0.0001448,-0.8000000119,3.60000014
-0.0001446,-0.6000000238,3.60000014
-0.0001444,-1,3.4000001
-0.0001442,-0.8000000119,3.60000014
-0.000144,-0.8000000119,3.4000001
-0.0001438,-0.8000000119,3.4000001
-0.0001436,-0.8000000119,3.20000005
-0.0001434,-1.2,3.20000005
-0.0001432,-1.2,3.20000005
-0.000143,-1.4,3
-0.0001428,-1.4,3
-0.0001426,-1.4,3.20000005
-0.0001424,-1.6,3.20000005
-0.0001422,-1.4,3
-0.000142,-1.4,3
-0.0001418,-1.4,3
-0.0001416,-1.6,2.79999995
-0.0001414,-1.6,2.79999995
-0.0001412,-1.6,2.79999995
-0.000141,-1.6,2.79999995
-0.0001408,-1.8000001,2.79999995
-0.0001406,-1.8000001,2.6000001
-0.0001404,-1.8000001,2.4000001
-0.0001402,-1.8000001,2.6000001
-0.00014,-2.2,2.4000001
-0.0001398,-2,2.4000001
-0.0001396,-2,2.2
-0.0001394,-2,2.2
-0.0001392,-2.2,2.4000001
-0.000139,-2.2,2.2
-0.0001388,-2.2,2.4000001
-0.0001386,-2,2.2
-0.0001384,-2,2
-0.0001382,-2.4000001,1.8000001
-0.000138,-2.4000001,2.2
-0.0001378,-2.4000001,1.8000001
-0.0001376,-2.2,2
-0.0001374,-2.2,1.8000001
-0.0001372,-2.2,1.8000001
-0.000137,-2.4000001,1.8000001
-0.0001368,-2.6000001,1.8000001
-0.0001366,-2.4000001,1.8000001
-0.0001364,-2.79999995,1.6
-0.0001362,-2.4000001,1.8000001
-0.000136,-3,1.6
-0.0001358,-2.79999995,1.6
-0.0001356,-2.79999995,1.8000001
-0.0001354,-2.6000001,1.6
-0.0001352,-2.79999995,1.8000001
-0.000135,-3,1.8000001
-0.0001348,-3,1.6
-0.0001346,-3,1.6
-0.0001344,-2.79999995,1.6
-0.0001342,-2.79999995,1.6
-0.000134,-3,1.4
-0.0001338,-3.20000005,1.2
-0.0001336,-3.20000005,1.2
-0.0001334,-3.20000005,1.2
-0.0001332,-3.20000005,1
-0.000133,-3.4000001,1
-0.0001328,-3.20000005,1.2
-0.0001326,-3.4000001,1
-0.0001324,-3.20000005,1
-0.0001322,-3.20000005,1.2
-0.000132,-3.4000001,1
-0.0001318,-3.20000005,0.8000000119
-0.0001316,-3.4000001,0.8000000119
-0.0001314,-3.20000005,1
-0.0001312,-3.4000001,0.8000000119
-0.000131,-3.79999995,0.8000000119
-0.0001308,-3.4000001,0.8000000119
-0.0001306,-3.60000014,0.8000000119
-0.0001304,-3.60000014,0.8000000119
-0.0001302,-3.60000014,0.8000000119
-0.00013,-3.4000001,1
-0.0001298,-3.60000014,0.8000000119
-0.0001296,-3.4000001,0.6000000238
-0.0001294,-3.60000014,0.400000006
-0.0001292,-3.60000014,1
-0.000129,-3.60000014,0.8000000119
-0.0001288,-3.60000014,0.6000000238
-0.0001286,-3.60000014,0.6000000238
-0.0001284,-4,0.400000006
-0.0001282,-3.60000014,0.6000000238
-0.000128,-3.79999995,0.6000000238
